id,name
"Brooks, City [Census subdivision], Alberta",Brooks Residential Area
commercialCentral,Brooks Commercial Area (Central/North)
gisCommercialEast,Brooks Commercial Area (East)
gisIndustrial,Brooks Industrial Area (South)
gisIndustrialEast,Brooks Industrial Area (East)
griffinParkSchool,Griffin Park School
stJosephsCollegiate,St. Joseph's Collegiate
brooksJuniorHighSchool,Brooks Junior High School
bchs,BCHS
eastbrookElementarySchool,Eastbrook Elementary School
uplandsElementary,Uplands Elementary
medicineHatCollege,Medicine Hat College - Brooks Campus
holyFamilyAcademy,Holy Family Academy
hospital,Brooks Health Centre
jbsFoodCanadaIncPlant,JBS Food Canada Inc. Plant
