startAge,endAge,count,locationId,segment
0,5,1170,"Brooks, City [Census subdivision], Alberta",All
5,10,1120,"Brooks, City [Census subdivision], Alberta",All
10,15,1005,"Brooks, City [Census subdivision], Alberta",All
15,20,955,"Brooks, City [Census subdivision], Alberta",All
20,25,790,"Brooks, City [Census subdivision], Alberta",All
25,30,945,"Brooks, City [Census subdivision], Alberta",All
30,35,1240,"Brooks, City [Census subdivision], Alberta",All
35,40,1340,"Brooks, City [Census subdivision], Alberta",All
40,45,1215,"Brooks, City [Census subdivision], Alberta",All
45,50,930,"Brooks, City [Census subdivision], Alberta",All
50,55,825,"Brooks, City [Census subdivision], Alberta",All
55,60,755,"Brooks, City [Census subdivision], Alberta",All
60,65,620,"Brooks, City [Census subdivision], Alberta",All
65,70,485,"Brooks, City [Census subdivision], Alberta",All
70,75,350,"Brooks, City [Census subdivision], Alberta",All
75,80,240,"Brooks, City [Census subdivision], Alberta",All
80,85,190,"Brooks, City [Census subdivision], Alberta",All
85,90,150,"Brooks, City [Census subdivision], Alberta",All
90,95,100,"Brooks, City [Census subdivision], Alberta",All
95,100,35,"Brooks, City [Census subdivision], Alberta",All
