,,,"Brooks, City [Census subdivision], Alberta",,,,,,"Division No.  2, Census division [Census division], Alberta"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Population and dwellings","Population; 2016",1,   14451,,,...,,...,  169729,,,...,,...
"Population and dwellings","Population; 2011",1,   13676,,,...,,...,  156536,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      5.7,,,...,,...,      8.4,,,...,,...
"Population and dwellings","Total private dwellings",2,    5412,,,...,,...,   66991,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,    5046,,,...,,...,   62823,,,...,,...
"Population and dwellings","Population density per square kilometre",,  777.3,,,...,,...,    9.6,,,...,,...
"Population and dwellings","Land area in square kilometres",,     18.59,,,...,,...,  17673.32,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4,   14450,,    7480,,    6975,,  169730,,   84760,,   84975,
"Age characteristics","  0 to 14 years",,    3290,,    1700,,    1595,,   35270,,   18110,,   17165,
"Age characteristics","    0 to 4 years",,    1170,,     630,,     545,,   12065,,    6140,,    5925,
"Age characteristics","    5 to 9 years",,    1120,,     570,,     545,,   12270,,    6410,,    5860,
"Age characteristics","    10 to 14 years",,    1005,,     495,,     505,,   10940,,    5560,,    5380,
"Age characteristics","  15 to 64 years",,    9615,,    5100,,    4515,,  109530,,   55115,,   54415,
"Age characteristics","    15 to 19 years",,     955,,     490,,     465,,   11065,,    5610,,    5455,
"Age characteristics","    20 to 24 years",,     790,,     445,,     350,,   12295,,    6265,,    6030,
"Age characteristics","    25 to 29 years",,     945,,     470,,     475,,   12105,,    6105,,    6005,
"Age characteristics","    30 to 34 years",,    1240,,     645,,     590,,   11975,,    6110,,    5870,
"Age characteristics","    35 to 39 years",,    1340,,     705,,     630,,   11090,,    5570,,    5520,
"Age characteristics","    40 to 44 years",,    1215,,     680,,     530,,   10220,,    5240,,    4975,
"Age characteristics","    45 to 49 years",,     930,,     525,,     410,,    9680,,    4905,,    4780,
"Age characteristics","    50 to 54 years",,     825,,     415,,     410,,   10585,,    5200,,    5385,
"Age characteristics","    55 to 59 years",,     755,,     415,,     335,,   10920,,    5460,,    5465,
"Age characteristics","    60 to 64 years",,     620,,     315,,     305,,    9590,,    4660,,    4930,
"Age characteristics","  65 years and over",,    1545,,     675,,     870,,   24925,,   11530,,   13390,
"Age characteristics","    65 to 69 years",,     485,,     245,,     240,,    8095,,    3935,,    4165,
"Age characteristics","    70 to 74 years",,     350,,     160,,     190,,    5875,,    2830,,    3050,
"Age characteristics","    75 to 79 years",,     240,,     105,,     130,,    4170,,    1935,,    2240,
"Age characteristics","    80 to 84 years",,     190,,      70,,     120,,    3220,,    1460,,    1755,
"Age characteristics","    85 years and over",,     285,,      90,,     190,,    3565,,    1370,,    2190,
"Age characteristics","      85 to 89 years",,     150,,      55,,      90,,    2175,,     900,,    1275,
"Age characteristics","      90 to 94 years",,     100,,      25,,      75,,    1075,,     395,,     680,
"Age characteristics","      95 to 99 years",,      35,,      10,,      25,,     275,,      70,,     205,
"Age characteristics","      100 years and over",,       0,,       0,,       5,,      30,,      10,,      20,
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,
"Age characteristics","  0 to 14 years",,   22.8,,   22.7,,   22.9,,   20.8,,   21.4,,   20.2,
"Age characteristics","  15 to 64 years",,   66.5,,   68.2,,   64.7,,   64.5,,   65.0,,   64.0,
"Age characteristics","  65 years and over",,   10.7,,    9.0,,   12.5,,   14.7,,   13.6,,   15.8,
"Age characteristics","    85 years and over",,    2.0,,    1.2,,    2.7,,    2.1,,    1.6,,    2.6,
"Age characteristics","Average age of the population",,   35.5,,   34.9,,   36.3,,   37.8,,   37.1,,   38.6,
"Age characteristics","Median age of the population",,   35.0,,   35.0,,   35.1,,   35.9,,   35.2,,   36.7,
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",5,    5045,,,...,,...,   62820,,,...,,...
"Household and dwelling characteristics","  Single-detached house",,    2780,,,...,,...,   43355,,,...,,...
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",,       0,,,...,,...,     765,,,...,,...
"Household and dwelling characteristics","  Other attached dwelling",6,    1880,,,...,,...,   15965,,,...,,...
"Household and dwelling characteristics","    Semi-detached house",,     380,,,...,,...,    3125,,,...,,...
"Household and dwelling characteristics","    Row house",,     505,,,...,,...,    3000,,,...,,...
"Household and dwelling characteristics","    Apartment or flat in a duplex",,     210,,,...,,...,    3295,,,...,,...
"Household and dwelling characteristics","    Apartment in a building that has fewer than five storeys",,     780,,,...,,...,    6505,,,...,,...
"Household and dwelling characteristics","    Other single-attached house",,       0,,,...,,...,      40,,,...,,...
