,,,"Newell County, Municipal district [Census subdivision], Alberta",,,,,,"Alberta [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Population and dwellings","Population; 2016",1,    7524,,,...,,..., 4067175,,,...,,...
"Population and dwellings","Population; 2011",1,    7138,r,,...,,..., 3645257,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      5.4,,,...,,...,     11.6,,,...,,...
"Population and dwellings","Total private dwellings",2,    2627,,,...,,..., 1654129,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,    2412,,,...,,..., 1527678,,,...,,...
"Population and dwellings","Population density per square kilometre",,    1.3,,,...,,...,    6.4,,,...,,...
"Population and dwellings","Land area in square kilometres",,   5904.67,,,...,,..., 640330.46,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4,    7525,,    3885,,    3635,, 4067175,, 2039410,, 2027765,
"Age characteristics","  0 to 14 years",,    1735,,     905,,     830,,  779155,,  399570,,  379580,
"Age characteristics","    0 to 4 years",,     520,,     270,,     255,,  266515,,  136520,,  129995,
"Age characteristics","    5 to 9 years",,     630,,     325,,     305,,  270715,,  138990,,  131725,
"Age characteristics","    10 to 14 years",,     585,,     315,,     275,,  241920,,  124060,,  117860,
"Age characteristics","  15 to 64 years",,    4915,,    2520,,    2395,, 2787805,, 1408150,, 1379655,
"Age characteristics","    15 to 19 years",,     590,,     325,,     265,,  240035,,  123625,,  116410,
"Age characteristics","    20 to 24 years",,     425,,     225,,     200,,  261830,,  133990,,  127840,
"Age characteristics","    25 to 29 years",,     350,,     175,,     180,,  310940,,  156715,,  154225,
"Age characteristics","    30 to 34 years",,     395,,     185,,     215,,  333175,,  167555,,  165620,
"Age characteristics","    35 to 39 years",,     485,,     250,,     235,,  305505,,  153655,,  151850,
"Age characteristics","    40 to 44 years",,     495,,     245,,     250,,  281205,,  142545,,  138660,
"Age characteristics","    45 to 49 years",,     525,,     260,,     270,,  269030,,  135855,,  133180,
"Age characteristics","    50 to 54 years",,     560,,     290,,     275,,  284310,,  142205,,  142100,
"Age characteristics","    55 to 59 years",,     595,,     315,,     280,,  275540,,  138565,,  136970,
"Age characteristics","    60 to 64 years",,     485,,     260,,     220,,  226230,,  113440,,  112790,
"Age characteristics","  65 years and over",,     870,,     460,,     410,,  500215,,  231690,,  268530,
"Age characteristics","    65 to 69 years",,     370,,     200,,     170,,  173680,,   85500,,   88180,
"Age characteristics","    70 to 74 years",,     235,,     125,,     110,,  117035,,   56430,,   60610,
"Age characteristics","    75 to 79 years",,     135,,      65,,      65,,   83955,,   39105,,   44845,
"Age characteristics","    80 to 84 years",,      75,,      40,,      35,,   62165,,   27590,,   34575,
"Age characteristics","    85 years and over",,      55,,      25,,      25,,   63385,,   23065,,   40320,
"Age characteristics","      85 to 89 years",,      45,,      20,,      25,,   39965,,   16050,,   23915,
"Age characteristics","      90 to 94 years",,      10,,       5,,       5,,   18025,,    5755,,   12275,
"Age characteristics","      95 to 99 years",,       0,,       0,,       0,,    4735,,    1145,,    3595,
"Age characteristics","      100 years and over",,       0,,       0,,       0,,     650,,     115,,     535,
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,
"Age characteristics","  0 to 14 years",,   23.1,,   23.3,,   22.8,,   19.2,,   19.6,,   18.7,
"Age characteristics","  15 to 64 years",,   65.3,,   64.9,,   65.9,,   68.5,,   69.0,,   68.0,
"Age characteristics","  65 years and over",,   11.6,,   11.8,,   11.3,,   12.3,,   11.4,,   13.2,
"Age characteristics","    85 years and over",,    0.7,,    0.6,,    0.7,,    1.6,,    1.1,,    2.0,
"Age characteristics","Average age of the population",,   36.9,,   36.9,,   36.9,,   37.8,,   37.2,,   38.4,
"Age characteristics","Median age of the population",,   38.0,,   38.0,,   37.9,,   36.7,,   36.2,,   37.2,
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",5,    2410,,,...,,..., 1527675,,,...,,...
"Household and dwelling characteristics","  Single-detached house",,    2010,,,...,,...,  946225,,,...,,...
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",,       0,,,...,,...,   62395,,,...,,...
"Household and dwelling characteristics","  Other attached dwelling",6,      15,,,...,,...,  471090,,,...,,...
"Household and dwelling characteristics","    Semi-detached house",,      10,,,...,,...,   86765,,,...,,...
"Household and dwelling characteristics","    Row house",,       0,,,...,,...,  116625,,,...,,...
"Household and dwelling characteristics","    Apartment or flat in a duplex",,       5,,,...,,...,   43090,,,...,,...
"Household and dwelling characteristics","    Apartment in a building that has fewer than five storeys",,       5,,,...,,...,  223360,,,...,,...
"Household and dwelling characteristics","    Other single-attached house",,       0,,,...,,...,    1245,,,...,,...
"Household and dwelling characteristics","  Movable dwelling",7,     380,,,...,,...,   47970,,,...,,...
"Household and dwelling characteristics","Total - Private households by household size - 100% data",8,    2410,,,...,,..., 1527675,,,...,,...
"Household and dwelling characteristics","  1 person",,     380,,,...,,...,  366080,,,...,,...
"Household and dwelling characteristics","  2 persons",,    1010,,,...,,...,  524415,,,...,,...
"Household and dwelling characteristics","  3 persons",,     300,,,...,,...,  245075,,,...,,...
"Household and dwelling characteristics","  4 persons",,     405,,,...,,...,  233770,,,...,,...
"Household and dwelling characteristics","  5 or more persons",,     330,,,...,,...,  158335,,,...,,...
"Household and dwelling characteristics","Number of persons in private households",,    6775,,,...,,..., 3978145,,,...,,...
"Household and dwelling characteristics","Average household size",,    2.8,,,...,,...,    2.6,,,...,,...
"Marital status","Total - Marital status for the population aged 15 years and over - 100% data",9,    5785,,    2980,,    2805,, 3288020,, 1639835,, 1648185,
"Marital status","  Married or living common law",,    4070,,    2040,,    2030,, 1969300,,  988410,,  980895,
"Marital status","    Married",,    3670,,    1845,,    1830,, 1648945,,  828155,,  820790,
"Marital status","    Living common law",,     395,,     200,,     200,,  320350,,  160250,,  160100,
"Marital status","  Not married and not living common law",,    1715,,     935,,     775,, 1318720,,  651430,,  667290,
"Marital status","    Never married",,    1310,,     760,,     555,,  905700,,  505310,,  400390,
"Marital status","    Separated",,      75,,      40,,      30,,   76150,,   34000,,   42150,
"Marital status","    Divorced",,     180,,     105,,      75,,  195850,,   82040,,  113815,
"Marital status","    Widowed",,     145,,      30,,     115,,  141020,,   30080,,  110940,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,    2005,,,...,,..., 1114585,,,...,,...
"Family characteristics","  2 persons",,    1010,,,...,,...,  540850,,,...,,...
"Family characteristics","  3 persons",,     290,,,...,,...,  235245,,,...,,...
"Family characteristics","  4 persons",,     400,,,...,,...,  227165,,,...,,...
"Family characteristics","  5 or more persons",,     305,,,...,,...,  111330,,,...,,...
"Family characteristics","Average size of census families",,    3.1,,,...,,...,    3.0,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,    2005,,,...,,..., 1114585,,,...,,...
"Family characteristics","  Total couple families",,    1885,,,...,,...,  953325,,,...,,...
"Family characteristics","    Married couples",,    1685,,,...,,...,  793195,,,...,,...
"Family characteristics","    Common-law couples",,     200,,,...,,...,  160130,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,     120,,,...,,...,  161260,,,...,,...
"Family characteristics","    Female parent",,      80,,,...,,...,  123490,,,...,,...
"Family characteristics","    Male parent",,      35,,,...,,...,   37770,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,    1890,,,...,,...,  953325,,,...,,...
"Family characteristics","  Couples without children",,     935,,,...,,...,  443665,,,...,,...
"Family characteristics","  Couples with children",,     955,,,...,,...,  509655,,,...,,...
"Family characteristics","    1 child",,     265,,,...,,...,  190010,,,...,,...
"Family characteristics","    2 children",,     390,,,...,,...,  213910,,,...,,...
"Family characteristics","    3 or more children",,     300,,,...,,...,  105735,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,     120,,,...,,...,  161260,,,...,,...
"Family characteristics","  1 child",,      80,,,...,,...,   97180,,,...,,...
"Family characteristics","  2 children",,      25,,,...,,...,   45235,,,...,,...
"Family characteristics","  3 or more children",,      10,,,...,,...,   18845,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",,     560,,     330,,     230,,  678535,,  356875,,  321655,
"Household type","Total - Private households by household type - 100% data",12,    2410,,,...,,..., 1527675,,,...,,...
"Household type","  One-census-family households",,    1970,,,...,,..., 1039985,,,...,,...
"Household type","    Without children in a census family",13,     920,,,...,,...,  414570,,,...,,...
"Household type","    With children in a census family",14,    1055,,,...,,...,  625415,,,...,,...
"Household type","  Multiple-census-family households",,      15,,,...,,...,   36120,,,...,,...
"Household type","  Non-census-family households",,     420,,,...,,...,  451570,,,...,,...
"Household type","    One-person households",,     375,,,...,,...,  366080,,,...,,...
"Household type","    Two-or-more person non-census-family households",,      50,,,...,,...,   85490,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15,    7525,,    3890,,    3635,, 4026650,, 2020510,, 2006140,
"Knowledge of official languages","  English only",,    7290,,    3775,,    3510,, 3698765,, 1869670,, 1829095,
